seed_key,manufacturer_seed_key,optical_design_seed_key,aperture_mm,image_circle_mm,model_name,notes,obstruction_pct,weight_kg,source_url
telescope.celestron.edgehd_800,manufacturer.celestron,optical_design.sct,203.2,28.0,EdgeHD 800,8" aplanatic flat-field SCT with integrated field-flattening corrector; StarBright XLT coatings; Fastar compatible (removable secondary for f/2 imaging with HyperStar); mirror clutches and tube cooling vents; 133mm native backfocus from rear cell thread; SCT 2"-24 UNC rear thread; weight includes finder/diagonal/eyepiece/CGE dovetail,,6.35,https://www.celestron.com/products/edgehd-800-optical-tube-assembly-cge-dovetail
telescope.celestron.edgehd_925,manufacturer.celestron,optical_design.sct,235.0,42.0,EdgeHD 925,9.25" aplanatic flat-field SCT with integrated field-flattening corrector; StarBright XLT coatings; Fastar compatible; mirror clutches and tube cooling vents; 146mm native backfocus from rear cell thread; large SCT 3.25"-16 UNC rear thread; weight includes finder/diagonal/eyepiece/CGE dovetail,36.0,,https://www.celestron.com/products/edgehd-925-optical-tube-assembly-cge-dovetail
telescope.celestron.edgehd_1100,manufacturer.celestron,optical_design.sct,279.4,42.0,EdgeHD 1100,11" aplanatic flat-field SCT with integrated field-flattening corrector; StarBright XLT coatings; Fastar compatible; mirror clutches and tube cooling vents; 146mm native backfocus from rear cell thread; large SCT 3.25"-16 UNC rear thread; weight includes finder/diagonal/eyepiece/CGE dovetail; approximately 12.7kg (28 lbs) per Celestron,,12.7,https://www.celestron.com/products/edgehd-11-optical-tube-assembly-cge-dovetail
telescope.celestron.edgehd_1400,manufacturer.celestron,optical_design.sct,356.0,42.0,EdgeHD 1400,14" aplanatic flat-field SCT with integrated field-flattening corrector; f/11 native (not f/10 like smaller models); StarBright XLT coatings; Fastar compatible; mirror clutches and tube cooling vents; 146mm native backfocus from rear cell thread; large SCT 3.25"-16 UNC rear thread; weight includes finder/diagonal/eyepiece/CGE dovetail,,,,https://www.celestron.com/products/edgehd-14-optical-tube-assembly-cge-dovetail
# --- RASA ---
telescope.celestron.rasa_8,manufacturer.celestron,optical_design.rasa,203.0,22.0,RASA 8,8" f/2 Rowe-Ackermann Schmidt Astrograph; imaging only (no visual use); camera mounts at FRONT of telescope in prime focus position; 4-element rare-earth lens group plus Schmidt corrector plus primary mirror; 22mm optimized image circle with usable field extending to 32mm (APS-C); central obstruction from front lens assembly is 93mm diameter; 29mm backfocus from threaded collar (25mm with included M42 adapter); Ultra-Stable Focus System (USFS); integrated air-cooling system; includes M42 and C-thread camera adapters; StarBright XLT coatings on refractive elements; enhanced aluminum on primary mirror,46.0,7.7,https://www.celestron.com/products/8-rowe-ackermann-schmidt-astrograph-rasa-8-optical-tube-assembly-cge-dovetail
telescope.celestron.rasa_11_v2,manufacturer.celestron,optical_design.rasa,279.0,43.3,RASA 11 V2,11" f/2.2 Rowe-Ackermann Schmidt Astrograph V2; imaging only (no visual use); camera mounts at FRONT of telescope in prime focus position; 4-element rare-earth lens group plus Schmidt corrector plus primary mirror; 43.3mm optimized image circle with usable field extending to 52mm (full-frame+); 55mm backfocus from included camera adapters; Ultra-Stable Focus System (USFS) with precision ball bearings; integrated 12V DC MagLev cooling fan; includes T-thread (M42) and M48 camera adapters; compatible with Celestron Focus Motor #94155-A; StarBright XLT coatings,,,,https://www.celestron.com/products/11-rowe-ackermann-schmidt-astrograph-rasa-11-v2-optical-tube-assembly-cge-dovetail
# --- Classic SCTs ---
telescope.celestron.c6,manufacturer.celestron,optical_design.sct,150.0,,C6,6" f/10 classic Schmidt-Cassegrain; StarBright XLT coatings; 133mm backfocus from rear SCT thread; Fastar/HyperStar compatible (f/2 with accessory); standard SCT 2"-24 UNC rear thread; includes 25mm eyepiece and 6x30 finder; CG-5 (Vixen) dovetail; no field curvature corrector (classic SCT design); smallest Celestron SCT compatible with Fastar,,4.5,https://www.celestron.com/products/c6-optical-tube-assembly-cg-5-dovetail
telescope.celestron.c8,manufacturer.celestron,optical_design.sct,203.2,,C8,8" f/10 classic Schmidt-Cassegrain; StarBright XLT coatings; 133mm backfocus from rear SCT thread; Fastar compatible; standard SCT 2"-24 UNC rear thread; the original Celestron workhorse SCT since 1970; available with CG-5 (Vixen) dovetail (#91020-XLT) or CGE (Losmandy) dovetail (#91024-XLT); includes 25mm eyepiece and 6x30 finder; no field curvature corrector (classic SCT design),,,,https://www.celestron.com/products/c8-optical-tube-assembly-cg-5-dovetail
telescope.celestron.c11,manufacturer.celestron,optical_design.sct,279.4,,C11,11" f/10 classic Schmidt-Cassegrain; StarBright XLT coatings; 146mm backfocus from rear large SCT thread; Fastar compatible; large SCT 3.25"-16 UNC rear thread; CGE (Losmandy) dovetail; includes 23mm eyepiece and 9x50 finder; no field curvature corrector (classic SCT design); same aperture as EdgeHD 1100 but without the integrated flat-field corrector lenses,,,,https://www.celestron.com/products/c11-optical-tube-assembly-cge-dovetail
# --- Sky-Watcher Esprit ---
telescope.skywatcher.esprit_80ed,manufacturer.skywatcher,optical_design.triplet_refractor,80.0,33.0,Esprit 80ED,80mm f/5 triplet APO; 3-element air-spaced with Ohara FPL-53 ED glass; Metallic High-Transmission Coatings (MHTC); included 1.0x doublet Schott glass field flattener threads onto focuser (M48 on camera side; 55mm backfocus from M48 thread); dual-speed rack and pinion Helinear Track focuser; fixed dew shield; includes 8x50 RA finder and 2" dielectric diagonal and M48 camera adapter; Vixen (CG-5) dovetail; aluminum carry case; also sold as Esprit 80ED Pro in some markets,,,,https://www.skywatcherusa.com/products/sky-watcher-esprit-80-ed-apo-refractor
telescope.skywatcher.esprit_100ed,manufacturer.skywatcher,optical_design.triplet_refractor,100.0,40.0,Esprit 100ED,100mm f/5.5 triplet APO; 3-element air-spaced with Ohara FPL-53 ED glass and Schott BK7 crown; Metallic High-Transmission Coatings (MHTC); included 1.0x doublet field flattener threads onto focuser (M48 on camera side; 55mm backfocus from M48 thread); 3.0" dual-speed rack and pinion Helinear Track focuser with micro focus; retractable dew shield; includes 8x50 RA finder and 2" dielectric diagonal and M48 camera adapter; CGE (Losmandy D) dovetail; aluminum carry case; also sold as Esprit 100ED Pro in some markets,,7.4,https://www.skywatcherusa.com/products/esprit-100-ed-triplet-apo-refractor
telescope.skywatcher.esprit_120ed,manufacturer.skywatcher,optical_design.triplet_refractor,120.0,43.0,Esprit 120ED,120mm f/7 triplet APO; 3-element air-spaced with Ohara FPL-53 ED glass and Schott AG crown; Metallic High-Transmission Coatings (MHTC); included 1.0x doublet Schott glass field flattener threads onto focuser (M48 on camera side; 55mm backfocus from M48 thread); 3.4" dual-speed rack and pinion Helinear Track focuser 1:11 ratio with 5kg load capacity; retractable dew shield; includes 8x50 RA finder and 2" dielectric diagonal and M48 camera adapter; CGE (Losmandy D) dovetail; rolled steel tube; aluminum carry case; also sold as Esprit 120ED Pro in some markets,,10.0,https://www.skywatcherusa.com/products/esprit-120mm-ed-triplet-apo-refractor
# --- Sky-Watcher Quattro ---
telescope.skywatcher.quattro_200p,manufacturer.skywatcher,optical_design.newtonian,205.0,,Quattro 200P,8" f/3.9 imaging Newtonian astrograph; parabolic borosilicate primary with RAQ coatings (94% reflectivity); oversized secondary for full-frame sensor illumination; 10:1 dual-speed 2" Crayford-style focuser; rolled steel tube with Black Diamond finish; knife-edge baffles; includes tube rings with Vixen dovetail and 9x50 finder; optional Sky-Watcher Quattro Coma Corrector recommended for imaging,,,,https://www.skywatcherusa.com/products/sky-watcher-quattro-200p-imaging-newtonian-8-205-mm
telescope.skywatcher.quattro_250p,manufacturer.skywatcher,optical_design.newtonian,254.0,,Quattro 250P,10" f/3.94 imaging Newtonian astrograph; parabolic borosilicate primary with RAQ coatings (94% reflectivity); oversized secondary for full-frame sensor illumination; 10:1 dual-speed 2" Crayford-style focuser; rolled steel tube with Black Diamond finish; includes tube rings with Vixen dovetail and 9x50 finder; optional Sky-Watcher Quattro Coma Corrector recommended for imaging,,,,https://www.skywatcherusa.com/products/sky-watcher-quattro-250p-imaging-newtonian-10-254-mm
telescope.skywatcher.quattro_300p,manufacturer.skywatcher,optical_design.newtonian,305.0,,Quattro 300P,12" f/3.93 imaging Newtonian astrograph; parabolic borosilicate primary with RAQ coatings (94% reflectivity); oversized secondary for full-frame sensor illumination; 10:1 dual-speed 2" Crayford-style focuser; rolled steel tube with Black Diamond finish; knife-edge baffles; primary mirror ships separately and requires installation; includes tube rings with Losmandy D-style dovetail and 9x50 finder; optional Sky-Watcher Quattro Coma Corrector recommended for imaging,,,,https://www.skywatcherusa.com/products/sky-watcher-quattro-300p-imaging-newtonian-12-305-mm
# --- Sky-Watcher Evostar ED ---
telescope.skywatcher.evostar_72ed,manufacturer.skywatcher,optical_design.doublet_refractor,72.0,,Evostar 72ED,72mm f/5.8 ED doublet APO; 2-element air-spaced; glass type not disclosed by Sky-Watcher (may differ from FPL-53 used in larger models); MHTC coatings; 2" dual-speed rack-and-pinion focuser; removable dew shield; aluminum tube with Black Diamond finish; includes tube rings with Vixen dovetail and foam-lined aluminum case; no eyepieces or diagonal included; approximately 1.96kg per review measurements,,,,https://www.skywatcherusa.com/products/evostar-72-apo-refractor
telescope.skywatcher.evostar_80ed,manufacturer.skywatcher,optical_design.doublet_refractor,80.0,,Evostar 80ED,80mm f/7.5 ED doublet APO; 2-element air-spaced; Ohara FPL-53 ED glass and Schott BK7 crown; MHTC coatings; 2" dual-speed Crayford-style focuser with M48 output thread; dual baffles; aluminum tube with Black Diamond finish; includes tube rings with Vixen dovetail and 8x50 RA finder and 2" dielectric diagonal and two 1.25" eyepieces (20mm and 5mm) and foam-lined aluminum case,,,,https://www.skywatcherusa.com/products/evostar-80ed
telescope.skywatcher.evostar_100ed,manufacturer.skywatcher,optical_design.doublet_refractor,100.0,,Evostar 100ED,100mm f/9 ED doublet APO; 2-element air-spaced; Ohara FPL-53 ED glass and Schott crown; MHTC coatings; 2" dual-speed Crayford-style focuser; aluminum tube with Black Diamond finish; includes tube rings with Vixen dovetail and 8x50 RA finder and 2" dielectric diagonal and two 1.25" eyepieces and foam-lined aluminum case; slower f/9 ratio provides excellent chromatic correction,,,,https://www.skywatcherusa.com/products/evostar-100ed
telescope.skywatcher.evostar_120ed,manufacturer.skywatcher,optical_design.doublet_refractor,120.0,,Evostar 120ED,120mm f/7.5 ED doublet APO; 2-element air-spaced; Ohara FPL-53 ED glass and Schott crown; MHTC coatings; 2" dual-speed Crayford-style focuser; aluminum tube with Black Diamond finish; includes tube rings with Vixen dovetail and 8x50 RA finder and 2" dielectric diagonal and two 1.25" eyepieces and foam-lined aluminum case; same 900mm focal length as 100ED but faster f/7.5 ratio,,,,https://www.skywatcherusa.com/products/evostar-120ed
# --- Askar FRA series (Petzval astrographs) ---
telescope.askar.fra300_pro,manufacturer.askar,optical_design.petzval,60.0,44.0,FRA300 Pro,60mm f/5 quintuplet Petzval astrograph (3+2 config with 1 ED element); built-in flat-field correction — no separate flattener needed; fully multi-coated; 2.5" dual-speed rack-and-pinion focuser with 360 degree rotator; M48 rear thread with built-in 2" filter thread; includes M42 and M54 adapters; Vixen dovetail; 303mm total length; backfocus not critical — focus anywhere within range for optimal correction,,2.26,https://www.sharpstar-optics.com/Products_1/22.html
telescope.askar.fra400,manufacturer.askar,optical_design.petzval,72.0,44.0,FRA400,72mm f/5.6 quintuplet Petzval astrograph (3+2 config with 2 ED elements); built-in flat-field correction — no separate flattener needed; fully multi-coated; 3" dual-speed rack-and-pinion focuser with 360 degree rotator; M68 rear thread; 140mm backfocus from mounting thread to focal plane (not critical for user); retractable dew shield; optional f/3.9 reducer (sold separately); Vixen dovetail; 317mm total length,,2.6,https://www.sharpstar-optics.com/Products_1/34.html
telescope.askar.fra600,manufacturer.askar,optical_design.petzval,108.0,66.0,FRA600,108mm f/5.6 quintuplet Petzval astrograph (3+2 config with 2 ED elements); built-in flat-field correction — no separate flattener needed; 66mm image circle surpasses full-frame; fully multi-coated; 4.2" dual-speed rack-and-pinion focuser with 1:10 fine adjustment; M90 rear thread with M54 and M48 adapters included; 160mm backfocus from mounting thread (not critical for user); retractable dew shield; optional f/3.9 reducer (sold separately); Losmandy D dovetail (73.2mm width); 493mm length with dew shield retracted,,6.5,https://agenaastro.com/askar-108mm-f-5-6-quintuplet-petzval-flat-field-astrograph-fra600.html
# --- Askar V (modular triplet APO — two rows for interchangeable objectives) ---
telescope.askar.v60,manufacturer.askar,optical_design.triplet_refractor,60.0,,Askar V (V60 mode),Askar V modular triplet APO with V60 (60mm) objective lens installed; triplet APO with 2 ED elements; 360mm focal length at f/6 native; ships as part of the Askar V kit which includes both V60 and V80 objective lenses plus matched reducer/flattener/extender (each with markings for 60mm or 80mm scale); 55mm backfocus from included accessories; M48 and M54 adapters with built-in 2" filter thread; 360 degree rotator with graduated markings; total kit weight including tube ring and dovetail is approximately 3.4kg (shared with V80 row — same physical OTA),,3.4,https://www.sharpstar-optics.com/Products_1/75.html
telescope.askar.v80,manufacturer.askar,optical_design.triplet_refractor,80.0,,Askar V (V80 mode),Askar V modular triplet APO with V80 (80mm) objective lens installed; triplet APO with 2 ED elements; 500mm focal length at f/6.25 native; ships as part of the Askar V kit which includes both V60 and V80 objective lenses plus matched reducer/flattener/extender (each with markings for 60mm or 80mm scale); 55mm backfocus from included accessories; M48 and M54 adapters with built-in 2" filter thread; 360 degree rotator with graduated markings; total kit weight including tube ring and dovetail is approximately 3.4kg (shared with V60 row — same physical OTA),,3.4,https://www.sharpstar-optics.com/Products_1/75.html
# --- Askar 103APO (triplet APO) ---
telescope.askar.103apo,manufacturer.askar,optical_design.triplet_refractor,103.0,,103APO,103mm f/6.8 triplet air-spaced APO with 1 ED element; no corrector included — 1x flattener and 0.8x and 0.6x reducers all sold separately; all correctors provide 44mm full-frame image circle with 55mm backfocus from M48 thread; 3.3" dual-speed rack-and-pinion focuser with 10cm travel and 360 degree rotator; detachable tube section enables 0.6x reducer and binoviewer use; dual finder bases; retractable dew shield; Vixen dovetail (290mm); includes Oxford cloth carry case,,4.75,https://agenaastro.com/askar-103apo-triplet-apo-refractor-telescope.html
# --- Askar 107PHQ (quadruplet astrograph) ---
telescope.askar.107phq,manufacturer.askar,optical_design.quadruplet_refractor,107.0,44.0,107PHQ,107mm f/7 quadruplet astrograph (3+1 config with 2 ED elements); built-in flat-field correction — no separate flattener needed; 44mm full-frame image circle; backfocus not critical — focus anywhere within range for optimal correction; 3" dual-speed rack-and-pinion focuser with 360 degree rotator; M48 and M54 adapters with built-in 2" filter thread; optional 0.76x reducer (sold separately); 603mm length with dew shield retracted,,5.7,https://starizona.com/products/askar-80phq-80mm-f-7-5-quadruplet-flat-field-astrograph-telescope
# --- William Optics Cat series (Petzval astrographs) ---
telescope.william_optics.redcat_51_ii,manufacturer.william_optics,optical_design.petzval,51.0,43.0,RedCat 51 II,51mm f/4.9 quadruplet Petzval APO with FPL-53 and FPL-51 synthetic fluorite glass (4 elements in 3 groups); built-in flat-field correction — no separate flattener needed; helical focuser with 360 degree laser-etched rotator; integrated Bahtinov mask in lens cap; M48 camera thread; 1.47kg OTA weight; 43mm image circle compatible with full-frame sensors; red anodized finish; pre-WIFD generation 2 — optically identical to WhiteCat 51 and SpaceCat 51 which differ only in color,,1.47,https://agenaastro.com/william-optics-redcat-rc51ii-gen-2-51mm-f-4-9-petzval-apo-refractor-telescope-red.html
telescope.william_optics.whitecat_51,manufacturer.william_optics,optical_design.petzval,51.0,43.0,WhiteCat 51,51mm f/4.9 quadruplet Petzval APO with FPL-53 and FPL-51 synthetic fluorite glass; optically identical to RedCat 51 II and SpaceCat 51 — same optics tube with white finish instead of red; built-in flat-field correction — no separate flattener needed; helical focuser with 360 degree laser-etched rotator; integrated Bahtinov mask; M48 camera thread; 43mm image circle for full-frame sensors,,1.47,https://williamoptics.com/products/cat-51
telescope.william_optics.spacecat_51,manufacturer.william_optics,optical_design.petzval,51.0,43.0,SpaceCat 51,51mm f/4.9 quadruplet Petzval APO with FPL-53 and FPL-51 synthetic fluorite glass; optically identical to RedCat 51 II and WhiteCat 51 — same optics tube with space grey finish; built-in flat-field correction — no separate flattener needed; helical focuser with 360 degree laser-etched rotator; integrated Bahtinov mask; M48 camera thread; 43mm image circle for full-frame sensors,,1.47,https://williamoptics.com/products/cat-51
telescope.william_optics.redcat_71_ii,manufacturer.william_optics,optical_design.petzval,71.0,45.0,RedCat 71 II,71mm f/4.9 quadruplet Petzval APO with FPL-53 glass (4 elements in 3 groups — 2-1-1 configuration with doublet front); built-in flat-field correction — no separate flattener needed; 350mm focal length; 45mm image circle for full-frame sensors; helical focuser with 2GT gear ring (Gen 2 pre-WIFD); integrated Bahtinov mask; M48 and M54 and M68 camera threads; dual Vixen and Arca-Swiss dovetail; 2.8kg OTA weight,,2.8,https://williamoptics.com/redcat-71
# --- William Optics doublet/triplet refractors ---
telescope.william_optics.guidestar_61,manufacturer.william_optics,optical_design.doublet_refractor,61.0,,GuideStar 61,61mm f/5.9 FPL-53 doublet APO; 360mm focal length; same optics as the Zenithstar 61 but with simpler push-pull drawtube focuser and rotating lens assembly for fine focus; Vixen/Synta finder dovetail rail (not standard Vixen); designed primarily as a high-quality guidescope but can be used for imaging; dedicated FLAT-GS61 flattener was discontinued in May 2024; OTA weighs 1.44kg,,1.44,https://williamoptics.com/products/guidestar-61-apo
telescope.william_optics.gt81_iv,manufacturer.william_optics,optical_design.triplet_refractor,81.0,,Gran Turismo 81 IV,81mm f/5.9 FPL-53 air-spaced triplet APO with STM super-high transmission coatings; 478mm focal length; 2.5" rack-and-pinion focuser with 1:10 dual-speed and M63x1 rear thread; retractable dew shield with integrated Bahtinov mask cap; reversible Vixen/Arca-Swiss dovetail; compatible with P-FLAT6AIII 0.8x reducer/flattener (sold separately) or P-FLAT68III 1.0x flattener; native image circle not published by William Optics — requires flattener for full-frame imaging; pre-WIFD generation 4,,,,https://williamoptics.com/products/gran-turismo-81-iv
telescope.william_optics.z103,manufacturer.william_optics,optical_design.doublet_refractor,103.0,,ZenithStar 103,103mm f/6.9 FPL-53 air-spaced doublet APO (NOT a triplet despite its larger aperture) with SMC fully multi-coated lenses; 710mm focal length; 2.5" rack-and-pinion focuser with 1:10 dual-speed and M63x1 rear thread; retractable dew shield with integrated Bahtinov mask cap; shares the same P-FLAT6AIII 0.8x reducer/flattener with the GT81 and GT71; native image circle not published — 43mm image circle with Flat 6A flattener; 4.4kg total weight with rings and handle and dovetail; discontinued product but still widely owned,,4.4,https://williamoptics.com/download/support/Z103-Manual.pdf
# --- Sharpstar ---
telescope.sharpstar.15028hnt,manufacturer.sharpstar,optical_design.newtonian,150.0,44.0,15028HNT,150mm f/2.8 hyperbolic Newtonian astrograph (NOT standard parabolic Newtonian) with PZ33 Pyrex-like primary mirror; 70mm minor axis secondary; both mirrors enhanced aluminum coated for >96% reflectivity; built-in 3-element air-spaced corrector with 1 ED element in the focuser; one-piece X-shaped secondary spider; 44mm full-frame image circle; carbon fiber tube version (15028HNT); 2.5" rack-and-pinion focuser with M48x0.75 thread and 55mm backfocus; Losmandy-style 200mm dovetail; aluminum tube version (15028HNT-AL) is heavier at 4.8kg OTA,,4.45,https://www.sharpstar-optics.com/Products_1/27.html
telescope.sharpstar.61edph_ii,manufacturer.sharpstar,optical_design.triplet_refractor,61.0,,61EDPH II,61mm f/5.5 triplet air-spaced APO refractor with 1 ED glass element; 335mm focal length; 2.5" dual-speed rack-and-pinion focuser with 1:10 fine focus; 235mm tube length with dew shield retracted; internally blackened aluminum tube; designed for both visual and astrophotography; ships with included 0.8x reducer/flattener (some early units had subpar lenses replaced under unofficial Sharpstar retrofit program circa 2022); native image circle not published; 44mm full-frame image circle achievable only with included reducer,,,,https://www.sharpstar-optics.com/Products_1/18.html
telescope.sharpstar.76edph,manufacturer.sharpstar,optical_design.triplet_refractor,76.0,,76EDPH,76mm f/5.5 triplet air-spaced APO refractor with 1 ED glass element; 418mm focal length; 2.5" dual-speed rack-and-pinion focuser with 1:10 fine focus; 333mm tube length with dew shield retracted; designed for both visual and astrophotography; native image circle not published; 44mm full-frame image circle achievable with optional 0.8x reducer (sold separately and shared with 94EDPH),,,2.9,https://www.sharpstar-optics.com/Products_1/48.html
telescope.sharpstar.94edph,manufacturer.sharpstar,optical_design.triplet_refractor,94.0,,94EDPH,94mm f/5.5 triplet air-spaced APO refractor with 2 ED glass elements (one more than the 61EDPH II and 76EDPH); 517mm focal length; 2.5" rack-and-pinion focuser; 468mm tube length with dew shield retracted; designed for both visual and astrophotography; native image circle not published; uses the same dedicated 0.8x reducer as the 76EDPH (sold separately) which is a 4-element design supporting up to 50mm image circle,,,4.27,https://ontariotelescope.com/sharpstar-94edph/
# --- Explore Scientific FCD100 series ---
telescope.explore_scientific.ed80_fcd100,manufacturer.explore_scientific,optical_design.triplet_refractor,80.0,,ED80 FCD-100,80mm f/6 air-spaced triplet APO refractor with Hoya FCD100 ED glass (similar properties to Ohara FPL-53); 480mm focal length; 2.5" hexagonal focuser supporting up to 10 lbs imaging payload; integrated dew shield; tube length 475mm with dew shield; Vixen dovetail; EMD enhanced multi-layer coatings on all surfaces; native image circle not published; pairs with optional Explore Scientific 0.8x focal reducer (sold separately) shared across the FCD100 series,,,3.4,https://explorescientific.com/products/ed80-fcd100-apo-refractor
telescope.explore_scientific.ed102_fcd100,manufacturer.explore_scientific,optical_design.triplet_refractor,102.0,,ED102 FCD-100,102mm f/7 air-spaced triplet APO refractor with Hoya FCD100 ED glass; 714mm focal length; 2.5" hexagonal focuser supporting up to 10 lbs payload; integrated dew shield; tube length 774mm with dew shield (603mm without); aluminum tube version (carbon fiber version available separately); Vixen-style dovetail; EMD enhanced multi-layer coatings; pairs with optional Explore Scientific 0.8x focal reducer (sold separately),,,4.94,https://explorescientific.com/collections/apo-triplet/products/ed102-fcd-100
telescope.explore_scientific.ed127_fcd100,manufacturer.explore_scientific,optical_design.triplet_refractor,127.0,,ED127 FCD-100,127mm f/7.5 air-spaced triplet APO refractor with Hoya FCD100 ED glass; 952mm focal length; 2.5" hexagonal focuser supporting up to 10 lbs payload; integrated dew shield; tube length 1060mm with dew shield (849mm without); carbon fiber tube; Vixen-style dovetail; EMD enhanced multi-layer coatings; flagship of the Explore Scientific FCD100 refractor line; pairs with optional Explore Scientific 0.8x focal reducer (sold separately),,,6.4,https://explorescientific.com/products/ed127-fcd100-air-spaced-triplet-apo-refractor-telescope-carbon-fiber
